BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
06G22;Giesensdorfer Grundschule;Ostpreußendamm 63;12207;Grundschule;52.422226;13.31101;26;4 %;27;11 %;11 %;;;
06G23;Kronach-Grundschule;Moltkestr. 24-26;12203;Grundschule;52.44167;13.313098;33;0 %;;;;;;
06G24;Grundschule unter den Kastanien;Kastanienstr. 6 -8;12209;Grundschule;52.42546;13.32527;30;3 %;32;3 %;3 %;;;
06G25;Clemens-Brentano-Grundschule;Kommandantenstr. 83-84;12205;Grundschule;52.433511;13.29316;32;3 %;;;;;;
06G26;Käthe-Kruse-Grundschule;Tietzenweg 108;12203;Grundschule;52.438186;13.310138;24;0 %;26;4 %;4 %;;;
06G27;Grundschule am Königsgraben;Gallwitzallee 136-144;12249;Grundschule;52.42303;13.34815;24;8 %;27;7 %;7 %;;;
06G28;Ludwig-Bechstein-Grundschule;Halbauer Weg 25;12249;Grundschule;52.43255;13.36236;23;0 %;;;;;;
06G29;Grundschule am Karpfenteich;Hildburghauser Str. 135;12209;Grundschule;52.417401;13.333982;28;0 %;30;3 %;;;3 %;
06G30;Mercator-Grundschule;Mercatorweg 8-10;12207;Grundschule;52.41225;13.317376;35;6 %;33;6 %;6 %;;;
06G31;Grundschule an der Bäke;Haydnstr. 15;12203;Grundschule;52.447783;13.318838;33;6 %;37;14 %;11 %;;3 %;
06G32;Grundschule am Stadtpark Steglitz;Karl-Stieler-Str. 10-11;12167;Grundschule;52.449314;13.34298;37;5 %;39;8 %;8 %;;;
06G33;Friedrich-Drake-Schule;Drakestr. 80;12205;Grundschule;52.43254;13.30621;14;7 %;17;6 %;6 %;;;
06K01;John-F.-Kennedy-Schule;Teltower Damm 87-93;14167;Integrierte Sekundarschule;52.42589;13.26273;150;1 %;154;10 %;;;;10 %
06K02;Wilma-Rudolph-Schule (Integrierte Sekundarschule);Am Hegewinkel 2A;14169;Integrierte Sekundarschule;52.45479;13.26097;90;1 %;92;1 %;1 %;;;
06K03;Kopernikus-Schule (Integrierte Sekundarschule);Lepsiusstr. 24-28;12163;Integrierte Sekundarschule;52.4643;13.32069;83;5 %;83;4 %;4 %;;;
06K04;Bröndby-Schule (Integrierte Sekundarschule);Dessauerstr. 63;12249;Integrierte Sekundarschule;52.428237;13.345888;98;3 %;93;3 %;3 %;;;
06K08;Max-von-Laue-Schule;Dürerstr. 27;12203;Integrierte Sekundarschule;52.43725;13.305628;42;5 %;;;;;;
06K09;Gail-S.-Halvorsen-Integrierte Sekundarschule;Im Gehege 6;14195;Integrierte Sekundarschule;52.459454;13.284371;46;11 %;43;19 %;;19 %;;
06K10;Helene-Lange-Schule (Integrierte Sekundarschule);Lauenburger Str. 110;12169;Integrierte Sekundarschule;52.4528;13.33586;51;0 %;;;;;;
06K11;Anna-Essinger-Gemeinschaftsschule;Tietzenweg 101;12203;;52.438827;13.309841;95;7 %;92;6 %;3 %;;3 %;
06S01;Pestalozzi-Schule;Hartmannsweilerweg 47;14163;Integrierte Sekundarschule;52.44346;13.24838;41;5 %;43;7 %;7 %;;;
06S02;Biesalski-Schule;Hüttenweg 40;14195;Übrige Förderschwerpunkte;52.454097;13.27055;48;4 %;48;2 %;;;2 %;
06S03;Peter-Frankenfeld-Schule;Wedellstr. 26;12247;"Förderschwerp.""Geistige Entwicklung""";52.43515;13.35522;21;0 %;;;;;;
06S05;J.-A.-Zeune-Schule für Blinde und Berufsfachschule Dr. Silex;Rothenburgstr. 14;12165;Berufsschule mit sonderpäd. Aufgaben;52.455569;13.315047;41;0 %;44;2 %;;;2 %;
06Y01;Schadow-Gymnasium;Beuckestr. 27-29;14163;Gymnasium;52.43149;13.25463;101;1 %;94;2 %;;;2 %;
06Y02;Droste-Hülshoff-Oberschule;Schönower Str. 8;14165;Gymnasium;52.42846;13.25673;71;0 %;;;;;;
06Y03;Arndt-Gymnasium Dahlem;Königin-Luise-Str. 80-84;14195;Gymnasium;52.45916;13.28001;64;0 %;62;2 %;;;2 %;
06Y04;Dreilinden-Gymnasium;Dreilindenstr. 49;14109;Gymnasium;52.42057;13.18778;52;2 %;53;2 %;2 %;;;
06Y05;Werner-von-Siemens-Oberschule;Beskidenstr. 3;14129;Gymnasium;52.43194;13.21159;61;0 %;60;2 %;;;2 %;
06Y06;Beethoven-Oberschule;Barbarastr. 9;12249;Gymnasium;52.43293;13.34283;71;0 %;;;;;;
06Y07;Paulsen-Gymnasium;Gritznerstr. 57;12163;Gymnasium;52.46219;13.314388;54;4 %;54;6 %;2 %;;4 %;
