BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;KlassenMehrAls26_32_Schueler
04G04;Joan-Miró-Grundschule;Bleibtreustr. 43;10623;Grundschule;52.50357;13.32014;X
04G06;Wald-Grundschule;Waldschulallee 83-93;14055;Grundschule;52.50259;13.259;X
04G11;Helmuth-James-von-Moltke-Grundschule;Heckerdamm 221;13627;Grundschule;52.53903;13.30104;X
04G24;Carl-Orff-Grundschule;Berkaer Str. 9-10;14199;Grundschule;52.47841;13.28709;X
04K02;Friedensburg-Schule;Goethestr. 8-9;10623;Integrierte Sekundarschule;52.50908;13.32082;X
04K03;Robert-Jungk-Schule;Sächsische Str. 58;10707;Integrierte Sekundarschule;52.49448;13.31872;X
04K07;Integrierte Sekundarschule Wilmersdorf;Kranzer Str. 3;14199;Integrierte Sekundarschule;52.482808;13.296098;X
04K08;Peter-Ustinov-Schule;Kuno-Fischer-Str. 22-26;14057;Integrierte Sekundarschule;52.505241;13.290548;X
04Y01;Schiller-Gymnasium;Schillerstr. 125-127;10625;Gymnasium;52.50993;13.321596;X
04Y05;Herder-Gymnasium;Westendallee 45-46;14052;Gymnasium;52.510663;13.257932;X
04Y07;Friedrich-Ebert-Gymnasium;Blissestr. 22;10713;Gymnasium;52.484621;13.319289;X
04Y10;Marie-Curie-Gymnasium;Weimarische Str. 21;10715;Gymnasium;52.480119;13.324748;X
05G02;Grundschule am Eichenwald;Gaismannshofer Weg 2;13587;Grundschule;52.558423;13.199146;X
05G08;Konkordia-Grundschule;Elsflether Weg 26;13581;Grundschule;52.53018;13.19202;X
05G11;Robert-Reinick-Grundschule;Jungfernheideweg 33-48;13629;Grundschule;52.54065;13.27277;X
05G12;Grundschule am Weinmeisterhorn;Daberkowstr. 27;13593;Grundschule;52.50825;13.1742;X
05G15;Askanier-Grundschule;Borkzeile 34;13583;Grundschule;52.54049;13.19242;X
05G24;Grundschule am Windmühlenberg;Am Kinderdorf 23-37;14089;Grundschule;52.48547;13.17431;X
05G25;Grundschule am Wasserwerk;Pionierstr. 197;13589;Grundschule;52.55625;13.16467;X
05K01;Martin-Buber-Oberschule (Integrierte Sekundarschule);Im Spektefeld 33;13589;Integrierte Sekundarschule;52.54895;13.1565;X
05K02;Carlo-Schmid-Oberschule (Integrierte Sekundarschule);Lutoner Str. 15-19;13581;Integrierte Sekundarschule;52.5259;13.17464;X
05K03;Bertolt-Brecht-Oberschule (Integrierte Sekundarschule);Wilhelmstr. 10;13595;Integrierte Sekundarschule;52.525308;13.192692;X
05K04;Heinrich-Böll-Oberschule (Integrierte Sekundarschule);Am Forstacker 9-11;13587;Integrierte Sekundarschule;52.565166;13.199033;X
05K05;B.-Traven-Gemeinschaftsschule;Recklinghauser Weg 26-32;13583;Integrierte Sekundarschule;52.5469;13.17403;X
05K06;Wolfgang-Borchert-Schule (Integrierte Sekundarschule);Blumenstr. 13;13585;Integrierte Sekundarschule;52.54571;13.1967;X
05K08;Schule an der Haveldüne (Integrierte Sekundarschule);Jaczostr. 53-67;13595;Integrierte Sekundarschule;52.51098;13.18567;X
05Y03;Hans-Carossa-Gymnasium;Am Landschaftspark Gatow 40;14089;Gymnasium;52.47244;13.13028;X
05Y05;Lily-Braun-Gymnasium;Münsingerstr. 2;13597;Gymnasium;52.538567;13.199029;X
06G04;Erich-Kästner-Grundschule;Bachstelzenweg 2-8;14195;Grundschule;52.458141;13.283199;X
06G12;Quentin-Blake-Grundschule;Hüttenweg 40;14195;Grundschule;52.454097;13.27055;X
06G21;Paul-Schneider-Grundschule;Seydlitzstr. 30-34;12249;Grundschule;52.431002;13.341243;X
06G22;Giesensdorfer Grundschule;Ostpreußendamm 63;12207;Grundschule;52.422226;13.31101;X
06G24;Grundschule unter den Kastanien;Kastanienstr. 6 -8;12209;Grundschule;52.42546;13.32527;X
06K02;Wilma-Rudolph-Schule (Integrierte Sekundarschule);Am Hegewinkel 2A;14169;Integrierte Sekundarschule;52.45479;13.26097;X
06K08;Max-von-Laue-Schule;Dürerstr. 27;12203;Integrierte Sekundarschule;52.43725;13.305628;X
06K10;Helene-Lange-Schule (Integrierte Sekundarschule);Lauenburger Str. 110;12169;Integrierte Sekundarschule;52.4528;13.33586;X
06Y06;Beethoven-Oberschule;Barbarastr. 9;12249;Gymnasium;52.43293;13.34283;X
06Y07;Paulsen-Gymnasium;Gritznerstr. 57;12163;Gymnasium;52.46219;13.314388;X
06Y09;Fichtenberg-Oberschule;Rothenburgstr. 18;12165;Gymnasium;52.45398;13.31302;X
06Y10;Lilienthal-Gymnasium;Ringstr. 2-3;12203;Gymnasium;52.43595;13.31215;X
06Y11;Goethe-Gymnasium Lichterfelde;Drakestr. 72-75;12205;Gymnasium;52.434929;13.305363;X
06Y12;Willi-Graf-Gymnasium;Ostpreußendamm 166;12207;Gymnasium;52.43469;13.32096;X
07G02;Finow-Grundschule;Welserstr. 16-22;10777;Grundschule;52.49823;13.34251;X
07G12;Scharmützelsee-Grundschule;Hohenstaufenstr. 49;10779;Grundschule;52.494177;13.343268;X
07G14;Löcknitz-Grundschule;Berchtesgadener Str. 10-11;10779;Grundschule;52.489558;13.343356;X
07G31;Carl-Sonnenschein-Grundschule;Am Hellespont 4-6;12109;Grundschule;52.443699;13.408152;X
07G36;Grundschule am Dielingsgrund;Dielingsgrund 35;12305;Grundschule;52.41166;13.40863;X
07G37;Ikarus-Grundschule;Körtingstr. 45;12107;Grundschule;52.43363;13.38389;X
07K01;Sophie-Scholl-Schule;Elßholzstr. 34-37;10781;Integrierte Sekundarschule;52.492808;13.356583;X
07K02;Carl-Zeiss-Schule;Barnetstr. 12-14;12305;Integrierte Sekundarschule;52.39571;13.40258;X
07K03;Gustav-Heinemann-Schule;Waldsassener Str. 62;12279;Integrierte Sekundarschule;52.40662;13.34754;X
07K04;Theodor-Haubach-Schule;Grimmstr. 9-11;12305;Integrierte Sekundarschule;52.398399;13.403988;X
07K05;Solling-Schule;Alt-Marienfelde 52;12277;Integrierte Sekundarschule;52.41397;13.36527;X
